Date,Open,High,Low,Close,Volume,Adj Close
23-03-2015,18136.73047,18205.92969,18116.03906,18116.03906,98030000,18116.03906
20-03-2015,17961.13086,18197.28906,17961.13086,18127.65039,333870000,18127.65039
19-03-2015,18072.58008,18072.99023,17934.24023,17959.0293,107820000,17959.0293
18-03-2015,17846.80078,18097.11914,17697.51953,18076.18945,130950000,18076.18945
17-03-2015,17972.2207,17972.2207,17785.78906,17849.08008,82560000,17849.08008
16-03-2015,17751.24023,17988.5,17751.24023,17977.41992,101760000,17977.41992
13-03-2015,17889.05078,17889.05078,17629.89063,17749.31055,113620000,17749.31055
12-03-2015,17626.83984,17900.09961,17620.49023,17895.2207,111550000,17895.2207
11-03-2015,17662.93945,17731.7793,17627,17635.39063,102120000,17635.39063
10-03-2015,17989.56055,17989.56055,17662.93945,17662.93945,120450000,17662.93945
09-03-2015,17856.56055,18031.03906,17856.56055,17995.7207,85820000,17995.7207
06-03-2015,18135.7207,18135.7207,17825.15039,17856.7793,113350000,17856.7793
05-03-2015,18096.90039,18160.34961,18087.65039,18135.7207,75840000,18135.7207
04-03-2015,18203.36914,18203.36914,18029.5,18096.90039,80900000,18096.90039
03-03-2015,18281.94922,18281.94922,18136.88086,18203.36914,83830000,18203.36914
02-03-2015,18134.05078,18288.63086,18122.58984,18288.63086,89790000,18288.63086
27-02-2015,18213.25977,18213.25977,18132.38086,18132.69922,101110000,18132.69922
